txid,timestamp,datetime_utc,src_ip,total_input_btc,fee_btc,input_count,output_count,btc_price_usd,volume_usd,pattern_label,fee_as_pct_of_amount,hour_of_day,src_ip_frequency,primary_wallet,time_since_last_tx,isolation_score,autoencoder_score,anomaly_score,is_anomaly
e2fed5e0aa5932e2e1626d89921bd8cca0384347e6c4758239f91a1df5f7a664,1609494504,2021-01-01 09:48:24,167.99.224.65,0.016397,3.261e-05,1,2,29039.31,475.2,NORMAL,0.1988766306237079,9,1,bc1qdegtvmqyrc30rjlrj5s9pgcvtz864jaqsgvdrv,86400,0.0425,0.0014,0.0261,0
8eee111208b41a8e07f62922833714fb59859d3fa3a19228dd62be0ab3ca9cf7,1609536412,2021-01-01 21:26:52,93.192.105.251,0.155155,0.00018346,1,2,29109.78,4511.2,NORMAL,0.11824297106572716,21,1,bc1qd2pw8h3hafqshmkrfgrsgkca6ed2fd5mf84lge,86400,0.0823,0.0002,0.0494,0
506b3db53ab61106e7dc4fec63935a340ada0c23320160a8248c68c13c47d0eb,1609563972,2021-01-02 05:06:12,104.24.113.175,0.40688,0.00014174,1,2,29149.65,11856.27,NORMAL,0.0348358152684292,5,1,bc1q6urx9vyzrt7w5xxvw86kkhlpazc087syfcxvyg,86400,0.0355,0.0008,0.0217,0
3e221ecb10008105db5c5eb4a0e83fb4800fe4d206131091b7daeb14c53b27c7,1609573075,2021-01-02 07:37:55,167.99.70.160,0.010824,0.00016026,1,2,29153.24,310.89,NORMAL,1.4805849908999362,7,1,bc1pulgy6zp5du0szyt2qfkhlmeddwn73ycl4yjx4ft5krx8enchexc6ejs4f4,86400,0.323,0.0146,0.1996,0
f078583f7c0588830d53df979a1073437d4b22d9bfb2ce6f1d018c07c9591dc0,1609584272,2021-01-02 10:44:32,93.190.225.50,0.032895,3.665e-05,1,2,29169.98,958.47,NORMAL,0.11141476998093941,10,1,bc1qd0dzqhx434g9n2yhqwnxlqpfl8lssnxn2dlhx5,86400,0.0219,0.0011,0.0136,0
afabb2a97231d93739a10da15d8a7a178d894a8702d1837abcdb15ad9ae20979,1609591845,2021-01-02 12:50:45,88.198.109.46,0.218159,0.00011065,1,2,29205.35,6368.17,NORMAL,0.05071986453922848,12,1,1QxBxrwiu6ECFmssYLWLzHc67uoEAKECX3,86400,0.0165,0.0002,0.01,0
5752e91406057f74658d806b8a667154aca68cff6b7ae9f1143084245d34661f,1609602304,2021-01-02 15:45:04,20.42.230.97,0.02348,0.00011035,2,2,29200.41,682.41,NORMAL,0.4699724447510871,15,1,bc1pu67htyf5zkreyc7l8ga3ytg8vhj7v7cmccnju74upxattgckmzaynafxa6,86400,0.1047,0.0018,0.0635,0
b20c123e2043d3f94c711f9635a9c19463ae597486aea8988d1dcfb5cf8f38dc,1609631459,2021-01-02 23:50:59,54.210.90.225,0.082551,0.00017315,3,2,29257.6,2410.18,NORMAL,0.2097488706994819,23,1,bc1q66app69gn0hgjregeqaar9r3x4xj74r8rdflgw,86400,0.2128,0.0013,0.1282,0
49592ea14634c37d70ad4b2f6a485784bc6285fdc53dc34018cb815dea275101,1609637153,2021-01-03 01:25:53,35.160.50.153,1.11367,0.00012396,2,2,29269.21,32592.61,NORMAL,0.011130764846789008,1,1,3yCFVwiNr7GK4AQ1HNzBURpYZS97,86400,0.1685,0.0021,0.102,0
3eed076b9c34085b99930c1f9f7fdbf435bd096e783b980d795b64e36ffcbb6c,1609639222,2021-01-03 02:00:22,65.21.97.75,0.118546,3.435e-05,1,2,29245.72,3465.97,NORMAL,0.028976069225389957,2,1,36NxYzCKut6ot3cXgvAtwBUG1wdWW3,86400,0.0476,0.0017,0.0293,0
3fad9ac81f44012afe98421ca4da9758ef225821be2ccc72b1c7ac158da344ed,1609654575,2021-01-03 06:16:15,65.21.79.187,0.073975,0.00013643,1,2,29296.21,2163.2,NORMAL,0.18442692203187286,6,1,3YSEjk64yMFmfLiShTgmQyd8is1nZ5,86400,0.0158,0.0003,0.0096,0
c83118411cd40965abef422c3642abf35b682b1143b9d06d1489c55dd8fc351c,1609682208,2021-01-03 13:56:48,54.210.127.183,0.141652,9.415e-05,1,2,29320.98,4150.62,NORMAL,0.06646565776292762,13,1,bc1qte935tgky4w3mgwzuwc36ygyxvnfjpl8xj8ztq,86400,0.0035,0.0002,0.0022,0
3817bce2ec4cf41d7b2ccfb082c8e46bb6eae15049705216264fde7407928b2f,1609682568,2021-01-03 14:02:48,51.254.51.83,0.038977,0.00016292,2,1,29334.62,1138.6,NORMAL,0.41798902432453927,14,1,1Gzm6d1k43mTKczEmhE4YuaNPin,86400,0.1688,0.0017,0.102,0
6c0b551dc681b57c07b83a41cfc103a909086a2feb2042dde1beb59e35d9e86a,1609707184,2021-01-03 20:53:04,134.209.128.161,0.581709,0.00077,11,22,29359.92,17056.32,COINJOIN_MIXING,0.13236856703806077,20,1,bc1q6m9cdwkkka3txh2a8ffftqd3k48vcqjyu072d8,86400,0.7822,0.0302,0.4814,0
a4470c3e0511341dcc6c0e25b149ef5d324083c4d3db83593235aa3c394f92e2,1609752955,2021-01-04 09:35:55,88.198.64.67,0.043754,1.96e-05,1,2,29412.74,1286.34,NORMAL,0.04479580199341318,9,1,bc1qfhhvl05n28qp54kupmsgvftmxm2huhw5gk9qsd,86400,0.029,0.0016,0.018,0
c1a38c0677fb072ad205e0ead5374afdc1a1c18506603e932aac7e1367cd281a,1609774394,2021-01-04 15:33:14,88.198.47.112,0.131374,1.851e-05,1,2,29450.37,3868.45,NORMAL,0.014089535151905894,15,1,bc1qj5tqlfmpx47fw0p8w3pyyhx2ry6nc9vsnalxhr,86400,0.039,0.0015,0.024,0
934e172468d775610f21e33ce0e3b01eacd4dff7fcbd34a3616a9aa11ac60273,1609797032,2021-01-04 21:50:32,8.219.191.55,0.026571,0.00018581,2,1,29497.54,778.3,NORMAL,0.6992935934154024,21,1,bc1q6t0mkgewpxcyrvzdu32edjqkjlkhy4ew2tyy2q,86400,0.3227,0.0033,0.1949,0
73baba063fd86a1df594a0b592c57d923dcc856e318b23bd0e7463c9198dd4f2,1609832624,2021-01-05 07:43:44,182.72.43.178,0.380249,0.00017353,1,2,29552.89,11232.31,NORMAL,0.04563587395736111,7,1,bc1q4vnydhjervra4t226u66kgklud82shr7vdanhc,86400,0.0429,0.0008,0.0261,0
072653ed240b3e29e02758f2a007c5ca4cdb4fba9199c7694be44747bca22a6e,1609833095,2021-01-05 07:51:35,35.160.220.151,0.04844,3.254e-05,1,1,29547.28,1430.31,NORMAL,0.06717574901785917,7,1,bc1qgewxflv6uedalwy5rqn9nwdt9slxgcv9g6z79r,86400,0.0961,0.0018,0.0584,0
48fbbc70d9927c2e0d28b5cd6efb5df195852d250e868290f9280698a61d39df,1609835898,2021-01-05 08:38:18,163.172.132.179,0.013662,6.983e-05,3,2,29541.23,401.52,NORMAL,0.5111220090615645,8,1,3qMnoKFxHZsFJqFCsMaFVJqFKSZ,86400,0.2215,0.0041,0.1346,0
affb04195a96fd0e08c6d80646760ccc697509fd8337aaf785097ef21c55e7ff,1609879806,2021-01-05 20:50:06,122.160.129.204,0.033952,0.00014693,1,1,29619.04,1001.27,NORMAL,0.43275673669669906,20,1,bc1qywj43azyfafl6elcud7d0l37aa2y9wej6qsmx6,86400,0.1777,0.0012,0.1071,0
6f1c344b0d5c40eabfd3b0ff4aed519b8812093a50810645ad485ada021eeeea,1609903191,2021-01-06 03:19:51,185.182.12.25,0.163979,0.00019916,1,1,29635.31,4853.67,NORMAL,0.12145450243354183,3,1,bc1qs5x2pm3dyvqqak4zhvpktd2hjqkuedaw5nyx60,86400,0.1629,0.0012,0.0982,0
9d41d82a5294c14233a68c8f69c1343ca85712433affa725bbd645e3fd9bba81,1609912637,2021-01-06 05:57:17,93.192.228.123,0.137899,1.014e-05,1,1,29646.95,4087.98,NORMAL,0.007353202450197281,5,1,bc1qx5q2g2n6x8v9ysq66tdm4a8t44m8t5sspk3pue,86400,0.1297,0.0024,0.0788,0
254c9ddc199c648ab26c6b1171caef3ed7d1b11aaa4bb0892c01c7240c5e915b,1609964804,2021-01-06 20:26:44,212.47.152.22,0.023734,0.00012073,3,2,29727.42,701.95,NORMAL,0.5086773882304363,20,1,bc1p050dkswzd6j8nfd45tmdepl80ad2mqdxlyafyt08qmw7meyat85rp8jfx8,86400,0.2227,0.0032,0.1349,0
3db0107f80ca86d66c2d8b662cea08930300911e379f498125dc7d5b3139606a,1610009223,2021-01-07 08:47:03,52.170.96.105,0.222084,2.174e-05,3,2,29802.23,6617.94,NORMAL,0.009789084405412183,8,1,bc1qv344gg2mnlkxc4lvx4p98gqtewcf58njj4yt2x,86400,0.1379,0.0032,0.084,0
1f2595710c8da85ffb7efb688b96ff9e9b58cc111f32aac94628ac576230a890,1610019427,2021-01-07 11:37:07,35.230.50.39,0.061037,0.00019721,1,2,29803.36,1813.24,NORMAL,0.32309857447355783,11,1,3J85gpgye11t8Cu5CuC8CywmtSr,86400,0.0703,0.0006,0.0424,0
d2745a2e9488673c13438c5ef08eb51db0e0f25a5d1b0d277ff172cabb94fdb0,1610019495,2021-01-07 11:38:15,159.65.35.75,0.129959,8.552e-05,1,2,29808.07,3871.26,NORMAL,0.06580531875028374,11,1,bc1qaffz9r8fxugfyj4507m68nd7zh2evkyrzsctla,86400,0.0075,0.0003,0.0046,0
