wallet_id,entity_group,is_suspicious,pattern_type
bc1qh2hkd3y202ac3w5rwz5e3yd5dleafsg0smehwg,ENTITY_NORM_1,0,NORMAL
bc1q8f2myccasq8348jm2aqstxnvfh2q5lp8hn0r09,EXTERNAL_RECIPIENT,0,NORMAL
bc1qxre4x0vvugmt3a0yuxrq9026l7der2cqcsajml,ENTITY_NORM_2,0,NORMAL
bc1qjdrr5rr72r9tyy0e80z965sd50segna5yqaxyd,ENTITY_NORM_2,0,NORMAL
bc1q0hj2unqnxgs8xf3jd4dslsr9m3zq4gs2umq8yf,EXTERNAL_MERCHANT,0,NORMAL
bc1qzhfmgznhzkd0xk6f02t6pt46032xcz7wvaknww,ENTITY_NORM_2,0,NORMAL
1QU5jNgMjw8ozLZLjTMSmKc9DTjRkp,ENTITY_NORM_3,0,NORMAL
1Scv1LKEUsefiMWVVkEZXszspBj6KZj,ENTITY_NORM_3,0,NORMAL
16uqGkLFtDA23GXgwr5WTyhdDnmRYSGA,ENTITY_NORM_3,0,NORMAL
3rUFCtmaW4cGw8W9tWjacfMqzVgu,EXTERNAL_MERCHANT,0,NORMAL
1vcVzBpxXVHqGvhJrraYhGJV5nKGJNMzb,ENTITY_NORM_3,0,NORMAL
bc1q7prkwyzp0vpf0g78dash282nxpncevy0xn8zkm,ENTITY_NORM_4,0,NORMAL
bc1q6lxmhafmt37am35093u0ac4pl5tldks433qv90,EXTERNAL_MERCHANT,0,NORMAL
bc1q6l07lup9jwe0nh7km4ka3nsw8v58tvd73jxvjw,ENTITY_NORM_4,0,NORMAL
bc1qwjjaywsvm8wf3fyr2nju8ane3lu9zm5sp9wp3z,ENTITY_NORM_5,0,NORMAL
bc1q3tml97k645x246ljeza95s58eqa6rvhlurd3gj,EXTERNAL_MERCHANT,0,NORMAL
bc1qul8p02nq69w8a8flj36770afcvgy3643qjnlfu,ENTITY_NORM_5,0,NORMAL
bc1qhmf06t2t9c0lfwasasqaj2yuknmsanvc7x0ckj,ENTITY_NORM_6,0,NORMAL
31dxkrp4fpYvzzKrtFftPFhDgHkqorj,EXTERNAL_MERCHANT,0,NORMAL
bc1qgxznuzhg9j56tvgh32s7j48ayfweh9eqs8ahsc,ENTITY_NORM_6,0,NORMAL
13mQEVVGwQ7kQbziP4SJD8wuW6jEihf,ENTITY_NORM_7,0,NORMAL
bc1qdyddw4fq3fgst8pgqk05ptsrg68y7uhxuwznapr7emxluy95fyg35cjamx,EXTERNAL_MERCHANT,0,NORMAL
1wiiyrcoxEUVyFTNuWSTo7MUMjHQ,ENTITY_NORM_7,0,NORMAL
bc1qhn59rf2r93umlu63d8km8jlnzwerqdndgsj58q,ENTITY_NORM_8,0,NORMAL
bc1pwkyezmpay5me6j8ep52ah9mx0me9en4w42y8vkkf0xfsvtfytlau55fuy7,EXTERNAL_MERCHANT,0,NORMAL
bc1qun3rkynauzrhjy9cazuv57frux49tz0uu2hhjc,ENTITY_NORM_8,0,NORMAL
3QLCENrYDF9A5Kws7Zrbvpya3jN,ENTITY_NORM_9,0,NORMAL
bc1qt2uz6h0ujuw0n7vhuajc62vgsr7hx8j923ufm9,EXTERNAL_MERCHANT,0,NORMAL
3uVyP2T4SZQGR6QF2M7vniNsA93KvX,ENTITY_NORM_9,0,NORMAL
bc1p7szvjkr438hmeuc4tllh39m9mtj5x95jnum2ukuzkm3ryeh2pfuzgy0hhc,ENTITY_NORM_10,0,NORMAL
bc1qhhuyghe5308ptlc8ssudjlv8gyutu95kyjn2th,EXTERNAL_MERCHANT,0,NORMAL
bc1pw8vg0lphhag9yne766yg5yuakgtgmr8fn225wkj9sv3gn92f24zp9zsd6p,ENTITY_NORM_10,0,NORMAL
bc1pjycu38gxeh4hfvezzzg47afg552en4ln7ph486np7swr72cf0z8vpu56f6,ENTITY_NORM_11,0,NORMAL
1n9aEcMjXaRMCWbNbPkrxokitmH,EXTERNAL_MERCHANT,0,NORMAL
bc1p7v03nwnjdl57k3j8cekfjzj9kus7dv33gx00rwwrx647xgq2677vj5jr9w,ENTITY_NORM_11,0,NORMAL
1sKdkqDCgwhzSuUZM6Sj7C9XMG1HRGVq,ENTITY_NORM_12,0,NORMAL
1Leod1HiQmG4j8WLBSkZzynrLm8hKQgF,ENTITY_NORM_12,0,NORMAL
3TmcXqbtjuEqGkqfxs6aVanQ5d84vczZ,EXTERNAL_MERCHANT,0,NORMAL
1dbABMwaV8kEneY6zZVt4W9ZTWd4cW,ENTITY_NORM_12,0,NORMAL
bc1qzur0zeuwdrgjw550nfw6n3rtmlrkc566fnct70,ENTITY_NORM_13,0,NORMAL
bc1qnfar66gc0sd49uh9vr3czyvd7d4nqdv870de05,ENTITY_NORM_13,0,NORMAL
bc1qshlax75dh56zwfps6jfv4wc0l4slla2k2gltrz,EXTERNAL_MERCHANT,0,NORMAL
bc1qyrq6gwyfqdahr7lpq6qp3jpmtxxf0vsk3e9hea,ENTITY_NORM_13,0,NORMAL
32EeAqunuS5LBdGdvwRkzbNRqp9smo6Z,ENTITY_NORM_14,0,NORMAL
bc1qy4e5p3ulwkcmtc9j0y93fcfc5hx9qnuh3xg9tm,EXTERNAL_MERCHANT,0,NORMAL
3ccZT726Pc6ffsMxR1KTRr6ozczGdaBkRB,ENTITY_NORM_14,0,NORMAL
bc1pze4mxqxswwuheafkp7xj698fkn4ad7k7xuu5ynz8p4x20t24mawettmepv,ENTITY_NORM_15,0,NORMAL
bc1q3yxth5va8sl5ce8kkatn9g580n8thfc6gcmtlt,EXTERNAL_MERCHANT,0,NORMAL
bc1p2ljgt5urkqlgvcl6l6ul29pwjz3wj2al883hzudmx0nzusk9u80dkm2gdd,ENTITY_NORM_15,0,NORMAL
3hsyr6SZpJmyQWYMe1xrwo6oWhjm,ENTITY_NORM_16,0,NORMAL
3sbSEUuEYJMvKNcd9dwYsNzkq437,ENTITY_NORM_16,0,NORMAL
1VW1UDm9yiLBxyJ6iQH6QjziB4ShL,EXTERNAL_MERCHANT,0,NORMAL
3Ui6n71EX59eFakV11mNu8xUm9X5FR,ENTITY_NORM_16,0,NORMAL
bc1q6ht7ypyqsdzrej6me9f39n9df5eynm0r09m8ar,ENTITY_NORM_17,0,NORMAL
bc1qgq2lks2hg38p4m3ysylahrl2h2sx8wqzq0z7hc,EXTERNAL_MERCHANT,0,NORMAL
bc1qftz6w50653yh8rtwzeyajn59aqhvjn0ahlv0fq,ENTITY_NORM_17,0,NORMAL
bc1q8kdunas892nzd5f90kernstpeu0xaxg8qrwgve,ENTITY_NORM_18,0,NORMAL
bc1psypyvug948zar2melpcmtkdt33ufz0jl67r93cg6v0pck7lk5c3tp5wp3r,EXTERNAL_MERCHANT,0,NORMAL
bc1q7kw2x003rwcktt05kpkfvlntlz9rwwp7q4vg4t,ENTITY_NORM_18,0,NORMAL
3o1mdSwrd3CfMtgFhd7YANp5GPMBh,ENTITY_NORM_19,0,NORMAL
bc1p4uqsd0yksxqrcu626lckcx7w2uyzjp5sxy42c2y947pm2m2rx4dv6sjn0x,EXTERNAL_MERCHANT,0,NORMAL
3SdcvYA4Q1U6KujhfXD72EBhK6X,ENTITY_NORM_19,0,NORMAL
bc1qy9ce53aq686ffxxxjk6scl7zt3efeze40r73hp,ENTITY_NORM_20,0,NORMAL
bc1qnn3lxwgnu5369vud6lhr2ynegptvvr0zarhv3h,ENTITY_NORM_20,0,NORMAL
bc1qp0hlut7kk2s9jpcr2dwwd36pq7gtqwsn3mckas,EXTERNAL_MERCHANT,0,NORMAL
bc1qdanexqhjnx7y4353snvf0re5gpljs6eczv4w7k,ENTITY_NORM_20,0,NORMAL
3T4xwA9DNTdzWAMxnCr6YNhCMh41VJE,ENTITY_NORM_21,0,NORMAL
3dqBYsqr69gUhUSUXR13bDoQ1zMqv,ENTITY_NORM_21,0,NORMAL
bc1q0wkngxcn2yznja4mg4lkv2epwwgdp28hzcsrrx,EXTERNAL_RECIPIENT,0,NORMAL
bc1qtzjh5m8xzqg24ku39h4t8eea3c7628gr2x67ut,ENTITY_NORM_22,0,NORMAL
1XY8yTV35HiM1nxkarpdodFjxNaam,EXTERNAL_MERCHANT,0,NORMAL
bc1qxm07kcfrq27l2yl5043rwce09auu9lu58lpxe6,ENTITY_NORM_22,0,NORMAL
bc1qm7ttgxc5c603e4jugg6n5dvdjkgt58k76jmqxp,ENTITY_NORM_23,0,NORMAL
bc1q2jsfrjdzkuxwc0jrcc65rqsvuwhvvjutytt8cz,EXTERNAL_MERCHANT,0,NORMAL
bc1qm3sg2sq4afzf5rnlky5wty26e9kwd44hjd7q8k,ENTITY_NORM_23,0,NORMAL
3pkA2WnN3654CsHc5duFHTRVhSUM,ENTITY_NORM_24,0,NORMAL
bc1pyzykxjn9jucep72wgejfnhqf8zqe9ndkd6f2twsv8trayjysxvl4kg0xjy,EXTERNAL_MERCHANT,0,NORMAL
3MYVNgjLmeAddQtMUB1MGsFnpiUJvQ,ENTITY_NORM_24,0,NORMAL
39WZZ6SQZ1jGwtgkBqZ9VBCddjxApoX,ENTITY_NORM_25,0,NORMAL
bc1qshwzdhc7azz5x3stcchyscwekkl7qgu2wy3dft,EXTERNAL_MERCHANT,0,NORMAL
3Qfnu8jFTtNo8XkXXEeBivT2G39de,ENTITY_NORM_25,0,NORMAL
32DaxZkTuAf7CXzgf3ysbZq86Xj9,ENTITY_NORM_26,0,NORMAL
