txid,datetime_utc,src_ip,geo_country,script_type,fee_btc,volume_usd,pattern_label
7437c9aff613250c7cba3f2557a1a3cc60f81ec3d412bdc3144813086aef0391,2026-02-28 23:30:25,122.160.185.222,IN,TAPROOT,0.00035,27796.83,COINJOIN_MIXING
890e7621adc81b0a8b1fa9bce0837d71bc67caccd5d93c105a3f5d8e7fe8dde2,2026-02-28 23:30:25,122.160.185.222,IN,TAPROOT,0.00035,27796.83,COINJOIN_MIXING
e2d2daa9e613829f66aeaeaef271f538ce3a8f2113cb1cc061c88edbec0010cb,2026-02-14 22:20:06,65.21.123.99,DE,P2WSH,0.00006748,4842268.47,PEELING_CHAIN
e7ed3da50834cdee59a391e326cc02f7385551bd2f5229d4087b367a3c457dc2,2026-02-14 22:20:06,65.21.123.99,DE,P2WSH,0.00006748,4842268.47,PEELING_CHAIN
fc44b98d32aae05ef5c878006649f78804176eeda54de4049e6c6e23f47791aa,2026-02-14 21:53:04,167.99.53.38,US,P2WSH,0.00014447,4864620.54,PEELING_CHAIN
249c7a8ecad078e727b4f9dcfada460c976c2d4e39d657aa88f57a1a37ab361e,2026-02-14 21:53:04,167.99.53.38,US,P2WSH,0.00014447,4864620.54,PEELING_CHAIN
5fd88c94ced1d0f60f730c617f01c9e94d0022457121707b733b62c721f6160d,2026-02-14 21:30:46,84.134.63.145,DE,P2WSH,0.00007174,4873070.2,PEELING_CHAIN
a692ee5e1d8e1358fee40313a26331fa1b5dade8dcd1ffa45f5e06de7aab80c7,2026-02-14 21:30:46,84.134.63.145,DE,P2WSH,0.00007174,4873070.2,PEELING_CHAIN
696afc07f91029d41d44734724eb0379db85f8ff84a76512ff472715ce35ee80,2026-02-14 20:48:58,84.134.63.145,DE,P2WSH,0.0000888,4913285.85,PEELING_CHAIN
a23c5fc439dbd3f4c3e930df7d3956377097775a48a5c63dd91016c8129aad02,2026-02-14 20:48:58,84.134.63.145,DE,P2WSH,0.0000888,4913285.85,PEELING_CHAIN
